feature,coefficient
million from,-0.8784921274345254
is,-0.88788000683397
that are,-0.8890590167383113
were the,-0.8904362782400229
cabinet,-0.8914754588110603
is to,-0.8921356985100566
nuclear weapons,-0.8930239340698203
face,-0.9012938170230146
the same,-0.9036242504262992
democrats,-0.9039389379396143
the wisconsin,-0.9177057783364095
illegal,-0.9178542900458351
stop,-0.9190364317928141
real,-0.9212102094695274
ken,-0.9239661835937902
four years,-0.9275600695567344
away,-0.9321890041861519
tom,-0.9338498604958374
deciding,-0.9341109299859408
stimulus,-0.939094048566913
reps,-0.9476593619393509
be,-0.9504206048690175
ever,-0.9543124042120923
to,-0.9654175497891193
benghazi,-0.9680308395743717
muslim,-0.9824744455012918
about the,-0.986900028292797
america,-0.9871043523554112
this is,-1.0285579945315175
china,-1.0402839139437696
of those,-1.0453064310844795
nothing,-1.0474964547779326
group,-1.0502128026737534
care law,-1.0522159237612552
white,-1.0723987721709052
says,-1.0899698586786262
walker,-1.1255816946724797
care,-1.1295928814832727
scott walker,-1.1446407480715626
illegals,-1.1570504715236314
has been,-1.1622296273329147
your,-1.207518248127714
will,-1.217029284292576
president,-1.2258098491999068
obamas,-1.2646496531996412
government,-1.2761618309232372
rep,-1.6045041469259163
obama,-1.6904486301495467
obamacare,-1.7508395793015041
wisconsin,-1.7636320234615253
